"species","taxa_name","mean_life_expect","life_time_La","mean_repo_rate","mean_repo_rate_stable_state","gen_time","M_rep_lif_exp","matrix_size","surv_95","surv_99","gini","mxlxsd","surv_sd","prop_la","mass_g","mode_of_life","repo_output","met_rate","IUCN","min_max","met_type","animal"
"Anas_platyrhynchos","Aves",2.38663484486873,1,0.2315,0.242790215516188,4.10593198652316,2.38663484486873,2,7,14,0.732078485275488,0.0254711882820144,0.022470745733936,0.48329758,1121,"volant",0.288,3.987,"LC",14,"endo","Anas_platyrhynchos"
"Anas_platyrhynchos","Aves",2.79310344827586,1,0.2845,0.305550714690455,4.08681211734794,2.79310344827586,2,8,16,0.732486260886029,0.0408967560458232,0.0214493324234017,0.565861,1121,"volant",0.288,3.987,"LC",16,"endo","Anas_platyrhynchos"
"Hirundo_rustica","Aves",1.31142862593236,2,3.06,0.744369608140635,2.92212792868387,1.90763243738197,2,4,9,0.691873827714709,0.0792949683094452,0.0239930540703678,0.0499865078905986,19,"volant",0.809,16.304,"LC",9,"endo","Hirundo_rustica"
"Jynx_torquilla","Aves",1.62074554294976,1,0.62302,0.62302,4.25735657338894,1.62074554294976,2,5,9,0.751768944742477,0.0303159836336003,0.0220401276266286,0.3173512,35.9,"volant",0.96,11.268,"LC",9,"endo","Jynx_torquilla"
"Pernis_apivorus","Aves",5.57598958333333,4,0.152,0.104294601939059,9.45187668526779,5.20833333333333,4,16,34,0.725501004899713,0.0178302304984518,0.0187135267070482,0.410227158746276,762.5,"volant",0.129,3.626,"LC",34,"endo","Pernis_apivorus"
"Pernis_apivorus","Aves",5.57598958333333,4,0.252,0.149297338529383,8.60152276857859,5.20833333333333,4,16,34,0.725501004899713,0.0295606453000648,0.0187135267070482,0.410227158746276,762.5,"volant",0.129,3.626,"LC",34,"endo","Pernis_apivorus"
"Phalacrocorax_auritus","Aves",3.32429481290323,4.00000000000001,0.668,0.311046182933609,9.34223870645186,6.45161290322581,4,14,37,0.684300898850731,0.0357369576250658,0.0410550075669158,0.18875121161754,1876.5,"volant",0.09,4.129,"LC",37,"endo","Phalacrocorax_auritus"
"Phalacrocorax_auritus","Aves",2.04010056140351,4,1.021,0.420859917022486,9.4073997428004,5.84795321637427,4,9,30,0.654924912485982,0.027380808683319,0.0435875187922217,0.0921015607571506,1876.5,"volant",0.09,4.129,"LC",30,"endo","Phalacrocorax_auritus"
"Pernis_apivorus","Aves",5.57598958333333,4,0.152,0.104294601939059,9.45187668526779,5.20833333333333,4,16,34,0.725501004899713,0.0178302304984518,0.0187135267070482,0.410227158746276,762.5,"volant",0.129,3.626,"LC",34,"endo","Pernis_apivorus"
"Pernis_apivorus","Aves",5.57598958333333,4,0.252,0.149297338529383,8.60152276857859,5.20833333333333,4,16,34,0.725501004899713,0.0295606453000648,0.0187135267070482,0.410227158746276,762.5,"volant",0.129,3.626,"LC",34,"endo","Pernis_apivorus"
"Ammodramus_savannarum","Aves",1.50755939524838,2,1.51,0.572423483530433,3.27183668509356,2.15982721382289,2,5,11,0.701846080373455,0.0597390196717128,0.0259841842230566,0.0852952005,17.9,"volant",0.993,12.883,"LC",11,"endo","Ammodramus_savannarum"
"Ammodramus_savannarum","Aves",1.50755939524838,2,1.7,0.611580303660646,3.22028096814538,2.15982721382289,2,5,11,0.701846080373455,0.0672558499615309,0.0259841842230566,0.0852952005,17.9,"volant",0.993,12.883,"LC",11,"endo","Ammodramus_savannarum"
"Anser_anser","Aves",5.63362511038704,3,1.0319,0.440767100670466,6.13898248692237,6.09031943725448,3,18,39,0.715809370146398,0.136079445578289,0.0230720958449002,0.470929403733786,3308.5,"volant",0.134,3.334,"LC",39,"endo","Anser_anser"
"Anser_anser","Aves",7.89190650370238,3,1.1316,0.475224450057318,6.83109969298241,8.92140244446427,3,25,58,0.712089997905232,0.165950549252839,0.0246727046586349,0.585345107266481,3308.5,"volant",0.134,3.334,"LC",58,"endo","Anser_anser"
"Anser_anser","Aves",4.45457697642164,3,0.9322,0.405944550535527,5.66809618709103,4.62320850670365,3,14,30,0.727150549132092,0.108845339241766,0.0225264977144349,0.3979733184765,3308.5,"volant",0.134,3.334,"LC",30,"endo","Anser_anser"
"Fulmarus_glacialis","Aves",12.2588235294118,9.00000000000001,0.06775,0.0453537285596896,23.2479964118644,11.7647058823529,9,36,80,0.721390620712598,0.00753430531698219,0.0170526770934085,0.47456586427582,785,"volant",0.127,5.255,"LC",80,"endo","Fulmarus_glacialis"
"Passer_domesticus","Aves",1.24528301886792,1,1.005,0.699072278452713,3.83706442026223,1.24528301886792,2,4,9,0.696067120655664,0.031992994093011,0.0244787222879868,0.24888,27.7,"volant",1.429,15.942,"LC",9,"endo","Passer_domesticus"
"Pernis_apivorus","Aves",5.57598958333333,4,0.202,0.128109042707935,8.95121472036346,5.20833333333333,4,16,34,0.725501004899714,0.0236954378992583,0.0187135267070482,0.410227158746276,762.5,"volant",0.129,3.626,"LC",34,"endo","Pernis_apivorus"
"Phalacrocorax_auritus","Aves",2.7147702208589,4,0.8445,0.366200382626643,9.15427509473151,6.13496932515337,4,12,34,0.675895871305644,0.0351621645320586,0.0436070975181222,0.143352575654943,1876.5,"volant",0.09,4.129,"LC",34,"endo","Phalacrocorax_auritus"
"Strix_occidentalis","Aves",4.71370910549805,2,0.258116229333333,0.245252367608735,6.26553036565805,5.37697866609059,3,15,32,0.699456957882985,0.0462993841541977,0.0222821554749257,0.541008584147738,609.5,"volant",0.154,4.685,"NT",32,"endo","Strix_occidentalis"
