"species","taxa_name","mean_life_expect","life_time_La","mean_repo_rate","mean_repo_rate_stable_state","gen_time","M_rep_lif_exp","matrix_size","surv_95","surv_99","gini","mxlxsd","surv_sd","prop_la","mass_g","mode_of_life","repo_output","met_rate","IUCN","min_max","met_type","animal"
"Isurus_oxyrinchus","Elasmobranchii",9.1640988366843,11.8081375128785,3.5695,0.191720401714433,16.6575441397793,7.8125,8,28,66,0.557419536669946,0.0509556097731015,0.0206804600745868,0.247271917108255,208088.8,"pelagic",0.056,0.519,"V",66,"ecto","Isurus_oxyrinchus"
"Isurus_oxyrinchus","Elasmobranchii",9.1640988366843,11.8081375128785,3.1555,0.164025721509311,17.4347130431327,7.8125,9,28,66,0.558557833336413,0.0348022633418601,0.0206804600745868,0.247271917108255,208088.8,"pelagic",0.056,0.519,"V",66,"ecto","Isurus_oxyrinchus"
"Chrysemys_picta","Reptilia",3.63228607352089,7,0.0627866666666667,0.0950907845903669,8.40616449114336,3.22828451839026,36,12,14,0.918419166215055,0.00921861036718486,0.0293119197676319,0.120359989825584,371.8,"demersal",0.171,0.243,"LC",36,"ecto","Chrysemys_picta"
"Crocodylus_johnsoni","Reptilia",2.30420453924701,8.95430647700515,2.27,0.452878140105184,17.0703233821009,9.41460204880966,5,12,42,0.457700513827476,0.0193649891779378,0.0524029327404011,0.0555481862513087,19500,"demersal",0.045,0.139,"LC",42,"ecto","Crocodylus_johnsoni"
"Crocodylus_johnsoni","Reptilia",3.08625273635528,10.5285920870281,3.2,0.423071830542288,18.9770404111795,10.4268550467698,5,17,55,0.444751826484588,0.0263354343988255,0.060194831566065,0.0771617750527574,19500,"demersal",0.045,0.139,"LC",55,"ecto","Crocodylus_johnsoni"
"Crocodylus_johnsoni","Reptilia",1.86011134777468,8.37947626929575,1.34,0.408645665718617,17.6035023863591,8.82940049137101,5,8,35,0.447487342002597,0.00807497713273651,0.0511951346749372,0.0372154930873848,19500,"demersal",0.045,0.139,"LC",35,"ecto","Crocodylus_johnsoni"
"Crocodylus_johnsoni","Reptilia",10.5550013725345,9.00000000000001,0.229209285714286,0.108253849065569,23.9446080122541,21.1907043942154,50,41,51,0.457437918655524,0.019948321947493,0.0224998929223366,0.211873249634834,19500,"demersal",0.045,0.139,"LC",51,"ecto","Crocodylus_johnsoni"
"Kinosternon_subrubrum","Reptilia",2.12089137496241,5.00000000000002,0.96,0.379557007838166,12.6174945339887,7.96171445658384,38,9,38,0.626579811453884,0.0176407933185393,0.0499996702736461,0.0651160108471586,154.7,"semi_aquatic",0.087,0.309,"LC",38,"ecto","Kinosternon_subrubrum"
"Kinosternon_subrubrum","Reptilia",1.30501107160567,4.99999999999942,0.86,0.363373740689806,12.5270752860568,7.14379471228718,23,3,23,0.532832198196676,0.00272092559491582,0.0434101234691471,0.00961259825102793,154.7,"semi_aquatic",0.087,0.309,"LC",23,"ecto","Kinosternon_subrubrum"
"Kinosternon_subrubrum","Reptilia",3.73567227347279,5,1.07,0.381534029923532,10.6248808996947,8.02039392679958,47,17,47,0.685806344114768,0.0540344690520452,0.0456096877210694,0.185000084903305,154.7,"semi_aquatic",0.087,0.309,"LC",47,"ecto","Kinosternon_subrubrum"
"Phrynosoma_cornutum","Reptilia",1.48566037735849,3,6.62,0.681066421962937,3.88036687143081,1.88679245283019,3,4,9,0.699744832746999,0.0857103737462237,0.0238529579923578,0.02726658,27.4,"terrestrial",0.433,0.922,"LC",9,"ecto","Phrynosoma_cornutum"
"Phrynosoma_cornutum","Reptilia",1.39493670886076,3,10.53,0.716783276757519,3.2658390906378,1.26582278481013,3,4,6,0.747323871271421,0.0655094296873431,0.0182485068825426,0.010150875,27.4,"terrestrial",0.433,0.922,"LC",6,"ecto","Phrynosoma_cornutum"
