species,Taxonomic_group,body_mass_g,no_clutch_year,repo_size_g,mass_specific_reproductive_output_g_g,mass_specific_metabolic_rate_w_kg,mode_of_life,IUCN_statues,clutch_no
Alces_alces,Mammalia,351000,1.235,13009.085,0.059,0.883,terrestrial,LC,1.29
Amazona_vittata,Aves,281,,17.9,NA,NA,volant,CE,2.9
Ammocrypta_pellucida,Actinopterygii,0.8,,0.0003,NA,NA,demersal,LC,
Ammodramus_savannarum,Aves,17.9,2,2,0.993,12.883,volant,LC,4.445
Amphimedon_compressa,Demospongiae,182,,0.2525,NA,NA,sessile,NA,
Anarhynchus_frontalis,Aves,58.1,2,11.9,0.819,NA,volant,V,2
Anas_fulvigula,Aves,1082,1,32.8,0.303,NA,volant,LC,10
Anas_laysanensis,Aves,1082,1,52.2,0.451,NA,volant,CE,9.349699399
Anas_platyrhynchos,Aves,1121,1,30.7,0.288,3.987,volant,LC,10.515
Anser_anser,Aves,3308.5,1,88.5,0.134,3.334,volant,LC,5
Anthropoides_paradiseus,Aves,5100,1,185.15,0.073,NA,volant,V,2
Arctocephalus_australis,Mammalia,67979.4,1,4250,0.063,NA,pelagic,LC,1
Astroblepus_ubidiai,Actinopterygii,14.7,,0.004,NA,NA,demersal,CE,
Bonasa_umbellus,Aves,532,1,12,0.248,NA,volant,LC,11
Bostrychia_hagedash,Aves,1245.3,1,60.25,0.138,NA,volant,LC,2.855
Buteo_solitarius,Aves,505,0.5,35,0.035,NA,volant,NT,1
Calidris_temminckii,Aves,25.7,2,4.95,1.541,NA,volant,LC,4
Calyptorhynchus_lathami,Aves,432,,25.5,NA,NA,volant,LC,1
Canis_lupus,Mammalia,29191,0.82,434.3,0.061,1.3,terrestrial,LC,4.98
Cebus_capucinus,Mammalia,2655,0.5,233.625,0.044,NA,arboreal,NA,1
Centrocercus_minimus,Aves,1650,,42,NA,NA,volant,E,
Cercopithecus_mitis,Mammalia,6117,0.5,391.65,0.032,2.229,arboreal,LC,1
Cervus_elaphus,Mammalia,160167,0.905,9258.795,0.054,1.562,terrestrial,LC,1.035
Chelodina_expansa,Reptilia,4744,,18.34,NA,NA,demersal,NA,28
Chelydra_serpentina,Reptilia,5170,1,12.175,NA,0.29,demersal,LC,26.45
Chen_caerulescens,Aves,2630.8,,,NA,2.645,volant,LC,
Chrysemys_picta,Reptilia,371.8,2,5.295,0.171,0.243,demersal,LC,6
Ciconia_ciconia,Aves,3350,1,72.5,0.087,NA,volant,LC,4
