"species","taxa_name","mean_life_expect","life_time_La","mean_repo_rate","mean_repo_rate_stable_state","gen_time","M_rep_lif_exp","matrix_size","surv_95","surv_99","gini","mxlxsd","surv_sd","mass_g","parental_care","repo_type","mobility","trophic_level","habitat_ecology","habitat","min_max","met_type","animal","met_type.1"
"Anarhynchus_frontalis","Aves",2.91636363636364,3,0.29,0.206199050134017,14.0616970077938,9.09090909090909,3,14,48,0.651093028625151,0.0117207608812419,0.0544532118344173,58.125,"yes","oviparous","volant","insectivore","terrestrial","freshwater",48,"endo","Anarhynchus_frontalis","endo"
"Anas_fulvigula","Aves",1.88679245283019,1,0.0339788635,0.0339788635,5.06054486556848,1.88679245283019,2,5,11,0.748812768821476,0.00232591496962176,0.0230204044915469,1082,"yes","oviparous","volant","omnivore","semiaquatic","freshwater",11,"endo","Anas_fulvigula","endo"
"Anas_platyrhynchos","Aves",2.38663484486873,1,0.2315,0.242790215516188,4.10593198652316,2.38663484486873,2,7,14,0.732078485275488,0.0254711882820144,0.022470745733936,1121,"yes","oviparous","volant","omnivore","semiaquatic","freshwater",14,"endo","Anas_platyrhynchos","endo"
"Anas_platyrhynchos","Aves",2.79310344827586,1,0.2845,0.305550714690455,4.08681211734794,2.79310344827586,2,8,16,0.732486260886029,0.0408967560458232,0.0214493324234017,1121,"yes","oviparous","volant","omnivore","semiaquatic","freshwater",16,"endo","Anas_platyrhynchos","endo"
"Coragyps_atratus","Aves",10.0357456781915,5.00000000000001,0.4987,0.215727014083879,11.3999465213865,10.6382978723404,5,31,71,0.71694938216963,0.0678272734101909,0.0209904692522301,2080.5,"yes","viviparous","volant","scavanger","terrestrial","terrestrial",71,"endo","Coragyps_atratus","endo"
"Coragyps_atratus","Aves",9.72871641747623,8.00000000000001,0.4987,0.162582573919349,15.5611826625899,10.6382978723404,8,31,70,0.713925339114311,0.0481177915521456,0.0211525951881937,2080.5,"yes","viviparous","volant","scavanger","terrestrial","terrestrial",70,"endo","Coragyps_atratus","endo"
"Hirundo_rustica","Aves",1.31142862593236,2,3.06,0.744369608140635,2.92212792868387,1.90763243738197,2,4,9,0.691873827714709,0.0792949683094452,0.0239930540703678,19,"yes","oviparous","volant","insectivore","aerial","terrestrial",9,"endo","Hirundo_rustica","endo"
"Jynx_torquilla","Aves",1.62074554294976,1,0.62302,0.62302,4.25735657338894,1.62074554294976,2,5,9,0.751768944742477,0.0303159836336003,0.0220401276266286,35.86666667,"yes","oviparous","volant","insectivore","terrestrial","terrestrial",9,"endo","Jynx_torquilla","endo"
"Pernis_apivorus","Aves",5.57598958333333,4,0.152,0.104294601939059,9.45187668526779,5.20833333333333,4,16,34,0.725501004899713,0.0178302304984518,0.0187135267070482,762.5,"yes","oviparous","volant","insectivore","terrestrial","terrestrial",34,"endo","Pernis_apivorus","endo"
"Pernis_apivorus","Aves",5.57598958333333,4,0.252,0.149297338529383,8.60152276857859,5.20833333333333,4,16,34,0.725501004899713,0.0295606453000648,0.0187135267070482,762.5,"yes","oviparous","volant","insectivore","terrestrial","terrestrial",34,"endo","Pernis_apivorus","endo"
"Phalacrocorax_auritus","Aves",3.32429481290323,4.00000000000001,0.668,0.311046182933609,9.34223870645186,6.45161290322581,4,14,37,0.684300898850731,0.0357369576250658,0.0410550075669158,1876.5,"yes","oviparous","volant","carnivore","pelagic","marine",37,"endo","Phalacrocorax_auritus","endo"
"Phalacrocorax_auritus","Aves",2.04010056140351,4,1.021,0.420859917022486,9.4073997428004,5.84795321637427,4,9,30,0.654924912485982,0.027380808683319,0.0435875187922217,1876.5,"yes","oviparous","volant","carnivore","pelagic","marine",30,"endo","Phalacrocorax_auritus","endo"
"Picoides_borealis","Aves",2.36552191136937,2,0.7666525,0.388337483238276,5.03400950859002,3.40529154954955,7,8,18,0.718689183411681,0.0659079555751181,0.0280044192706453,48,"yes","oviparous","volant","insectivore","arboreal","terrestrial",18,"endo","Picoides_borealis","endo"
"Picoides_borealis","Aves",2.04433296593674,2,0.715613166666667,0.353455280426811,4.60442497446578,2.74824464720195,7,6,14,0.719201695063904,0.050637810587445,0.0254487899520419,48,"yes","oviparous","volant","insectivore","arboreal","terrestrial",14,"endo","Picoides_borealis","endo"
"Thalassarche_melanophris","Aves",14.2027137382949,10.3116309739393,0.091325,0.0456730226106575,23.3550952799148,9.57471264367816,17,36,79,0.672858931881995,0.00757550429601957,0.0176761747594915,3440,"yes","oviparous","volant","carnivore-scavanger","pelagic","marine",79,"endo","Thalassarche_melanophris","endo"
"Tympanuchus_cupido","Aves",1.65801923522647,2,3.164,0.926324356292218,2.71730784002253,1.9336445349,7,5,8,0.671139724182731,0.18504233961425,0.0197738926777072,885.5,"yes","oviparous","volant","herbivore","terrestrial","terrestrial",8,"endo","Tympanuchus_cupido","endo"
"Vermivora_chrysoptera","Aves",1.37347294938918,1,0.48,0.448136966488061,3.59145599841008,1.37347294938918,2,4,9,0.72525562660875,0.0194547770065959,0.0236017253699717,8.9,"yes","oviparous","volant","insectivore","semiarboreal","terrestrial",9,"endo","Vermivora_chrysoptera","endo"
"Vermivora_chrysoptera","Aves",1.45697896749522,1,0.475,0.452810539677563,3.72652078671531,1.45697896749522,2,5,10,0.719894880522535,0.0231960393940402,0.0247250030800717,8.9,"yes","oviparous","volant","insectivore","semiarboreal","terrestrial",10,"endo","Vermivora_chrysoptera","endo"
"Pernis_apivorus","Aves",5.57598958333333,4,0.152,0.104294601939059,9.45187668526779,5.20833333333333,4,16,34,0.725501004899713,0.0178302304984518,0.0187135267070482,762.5,"yes","oviparous","volant","insectivore","terrestrial","terrestrial",34,"endo","Pernis_apivorus","endo"
"Pernis_apivorus","Aves",5.57598958333333,4,0.252,0.149297338529383,8.60152276857859,5.20833333333333,4,16,34,0.725501004899713,0.0295606453000648,0.0187135267070482,762.5,"yes","oviparous","volant","insectivore","terrestrial","terrestrial",34,"endo","Pernis_apivorus","endo"
"Amazona_vittata","Aves",8.14285714285714,6.31034482758624,1.05264,0.265269792558378,10.9029446175047,8.92857142857143,3,26,59,0.622500505195414,0.0706716602086919,0.0231457603813015,281,"yes","oviparous","volant","herbivore","arboreal","terrestrial",59,"endo","Amazona_vittata","endo"
