"species","taxa_name","mean_life_expect","life_time_La","mean_repo_rate","mean_repo_rate_stable_state","gen_time","M_rep_lif_exp","matrix_size","surv_95","surv_99","gini","mxlxsd","surv_sd","prop_la","mass_g","mode_of_life","repo_output","met_rate","IUCN","min_max","met_type","animal"
"Cyprinus_carpio","Actinopterygii",2.83165829145729,2,3.06075,0.906440404456844,4.75188021725775,3.66331658291457,5,11,29,0.63296697039461,0.203287827091923,0.0368600533086835,0.2291402,542.6,"demersal",NA,0.099,NA,29,"ecto","Cyprinus_carpio"
"Esox_lucius","Actinopterygii",1.00076611738976,4.00000000000684,225594.475779317,1.37362771154689,6.19182271021355,3.10714717198608,16,2,3,0.626319722379974,0.35840509771785,0.0369254270643419,1.09053852259441e-05,1073.8,"demersal",NA,0.185,"LC",16,"ecto","Esox_lucius"
"Maccullochella_peelii","Actinopterygii",3.1574467569778,4.99999999999999,6.72,0.652861996482675,11.2175036441073,7.05504012614661,10,13,44,0.579116712812629,0.24421025990808,0.043967560183019,0.127973611218803,2594.7,"demersal",NA,0.065,"CE",44,"ecto","Maccullochella_peelii"
"Macquaria_ambigua","Actinopterygii",2.768875,2.99999999999999,2.9675,0.710319889203291,6.01936257012538,4.25,4,10,28,0.657971164962454,0.179452279011253,0.0353581157659668,0.1629485,3821.5,"demersal",NA,NA,NA,28,"ecto","Macquaria_ambigua"
"Oncorhynchus_tshawytscha","Actinopterygii",1.039564672,4.00000000000001,14.1827373875,0.630699626282685,4.78715565960921,1.6032,5,2,6,0.833333333333333,0.0102411346066246,0.0198195433193293,0.0037832704,4600,"pelagic",NA,NA,NA,6,"ecto","Oncorhynchus_tshawytscha"
"Oncorhynchus_tshawytscha","Actinopterygii",1.302980224,4,9.14249675,0.733241553005914,4.82009964376145,1.6536,5,5,6,0.833333333333333,0.0420522218827115,0.017984238004146,0.0310381568,4600,"pelagic",NA,NA,NA,6,"ecto","Oncorhynchus_tshawytscha"
"Oncorhynchus_tshawytscha","Actinopterygii",1.039993440256,3,13.455153138,0.699769717803661,4.84076244445047,2.32084288,5,2,6,0.803954615374041,0.0107656393890456,0.0198195746503684,0.0075414001152,4600,"pelagic",NA,NA,NA,6,"ecto","Oncorhynchus_tshawytscha"
"Oncorhynchus_tshawytscha","Actinopterygii",1.271946496,3,5.068165375,0.664211039899494,4.5865656056378,2.1493312,5,5,6,0.75245698955314,0.0388363262989388,0.0180991233441501,0.0473279232,4600,"pelagic",NA,NA,NA,6,"ecto","Oncorhynchus_tshawytscha"
"Salvelinus_confluentus","Actinopterygii",1.31215974927998,5.06196569850795,78.0998106666667,0.662443430040456,6.37088293603875,1.69305037086816,7,4,8,0.639269648676524,0.0284878458514222,0.022798035380642,0.00306124599988578,3102.7,"demersal",NA,NA,"V",8,"ecto","Salvelinus_confluentus"
"Salvelinus_confluentus","Actinopterygii",1.30964917926437,2,38.0971149166667,0.686489642429081,4.84476032729045,1.42040907919437,7,4,8,0.342343435166368,0.0201114114876868,0.022800266716889,0.0325053696,3102.7,"demersal",NA,NA,"V",8,"ecto","Salvelinus_confluentus"
"Haliotis_rufescens","Gastropoda",1.73994501760752,4.19945675282448,14.254,0.574734354554951,9.1831906149662,2.9664976075623,8,5,16,0.431492740097891,0.0318078338195327,0.0308998139895011,0.0287203005126965,579.3,"sessile",NA,NA,NA,16,"ecto","Haliotis_rufescens"
"Kinosternon_flavescens","Reptilia",1.94882479556475,12,2.55705706451613,0.52133790055552,29.0041648297638,19.1684401282855,73,4,73,0.517676181906657,0.0131260415227214,0.0714694395280353,0.0217049219224229,331.2,"semi_aquatic",0.07,NA,"LC",73,"ecto","Kinosternon_flavescens"
"Kinosternon_integrum","Reptilia",2.22813119084305,6.12348668280871,1.35,0.299959023056748,11.6293882893558,4.54545454545455,5,7,23,0.507132722992348,0.00810883863977177,0.0336482911281336,0.0376863191255376,474.4,"semi_aquatic",0.21,NA,"LC",23,"ecto","Kinosternon_integrum"
"Kinosternon_integrum","Reptilia",1.05018357036036,5.84356400062892,0.565,0.344878757600867,38.2024027185301,9.46291560102302,5,2,6,0.612227311303818,1.38861637486117e-05,0.0199660179289293,0.00053871567168,474.4,"semi_aquatic",0.21,NA,"LC",6,"ecto","Kinosternon_integrum"
"Vipera_aspis","Reptilia",2.08732691265625,4.99999999999998,0.932,0.304200738448432,8.99115870035984,3.90625,5,7,20,0.673602602992836,0.0163655021327986,0.0327740477116182,0.0537132082628478,161,"terrestrial",NA,0.1,"LC",20,"ecto","Vipera_aspis"
