"species","taxa_name","mean_life_expect","life_time_La","mean_repo_rate","mean_repo_rate_stable_state","gen_time","M_rep_lif_exp","matrix_size","surv_95","surv_99","gini","mxlxsd","surv_sd","mass_g","parental_care","repo_type","mobility","trophic_level","habitat_ecology","habitat","min_max","met_type","animal","met_type.1"
"Alces_alces","Mammalia",7.59665384615384,3,1.12,0.509437344851534,10.6439822884305,19.2307692307692,3,39,112,0.6710598695491,0.0841329039627728,0.0674895008551122,351000,"yes","viviparous","terrestrial","herbivore","terrestrial","terrestrial",112,"endo","Alces_alces","endo"
"Arctocephalus_australis","Mammalia",5.47356853346064,3,0.317368421052632,0.194347261375991,9.1669281800469,6.71665260024325,21,17,50,0.741720097512111,0.0319592597243276,0.0301180917814511,67979.43,"yes","viviparous","m_pelagic","carnivore","pelagic","marine",50,"endo","Arctocephalus_australis","endo"
"Hippocamelus_bisulcus","Mammalia",15.2266666666667,3,0.0936,0.0798187484119035,17.1798183820913,16.6666666666667,3,48,112,0.713485977804435,0.0165391663050087,0.0232572530253899,69620.405,"yes","viviparous","terrestrial","herbivore","terrestrial","terrestrial",112,"endo","Hippocamelus_bisulcus","endo"
"Hippocamelus_bisulcus","Mammalia",7.21866666666667,3,0.0936,0.0783832434520223,10.4258416394452,6.66666666666667,3,21,45,0.72769074670508,0.0155402521425031,0.0174284115647533,69620.405,"yes","viviparous","terrestrial","herbivore","terrestrial","terrestrial",45,"endo","Hippocamelus_bisulcus","endo"
"Hippocamelus_bisulcus","Mammalia",7.21866666666667,3,0.2448,0.17017316917027,8.11718229330746,6.66666666666667,3,21,45,0.727690746705081,0.0406437363727003,0.0174284115647533,69620.405,"yes","viviparous","terrestrial","herbivore","terrestrial","terrestrial",45,"endo","Hippocamelus_bisulcus","endo"
"Lontra_canadensis","Mammalia",3.11971914893617,2,0.41,0.338759499540004,5.75615556007242,3.54468085106383,3,11,25,0.67349158305018,0.0471267600966366,0.0302577274789465,8087.42,"yes","viviparous","semiaquatic","carnivore","semiaquatic","freshwater",25,"endo","Lontra_canadensis","endo"
"Marmota_flaviventris","Mammalia",2.47510416558012,2,0.328963588888889,0.223688921646482,4.11503952998055,2.77275219094007,10,7,11,0.629614370311963,0.0309531303598447,0.0178475588646594,3709.73,"yes","viviparous","semifossorial","herbivore","semifossorial","terrestrial",11,"endo","Marmota_flaviventris","endo"
"Marmota_flaviventris","Mammalia",2.21406751687248,2,0.7628104,0.376899737162935,4.41856860686495,2.59416136083863,10,8,11,0.490606230875707,0.0386010426396996,0.0211924786321622,3709.73,"yes","viviparous","semifossorial","herbivore","semifossorial","terrestrial",11,"endo","Marmota_flaviventris","endo"
"Marmota_flaviventris","Mammalia",2.07315324839961,2,1.13388371111111,0.418227397423306,4.22389162578586,1.90952535302421,10,6,11,0.519194656889983,0.0376463186112362,0.0234526446864341,3709.73,"yes","viviparous","semifossorial","herbivore","semifossorial","terrestrial",11,"endo","Marmota_flaviventris","endo"
"Marmota_flaviventris","Mammalia",2.03173563541515,2,0.5108772,0.283222215059754,4.15485858269547,2.21878631272075,10,6,11,0.594559330244102,0.0239433824903136,0.0222054837736468,3709.73,"yes","viviparous","semifossorial","herbivore","semifossorial","terrestrial",11,"endo","Marmota_flaviventris","endo"
