species,taxa_name,mean_life_expect,life_time_La,mean_repo_rate,gen_time,H_entropy,S_entropy,M_rep_lif_exp,matrix_size,surv_95,surv_99,gini,first_stage,lambda_pop,mass_g,parental_care,repo_type,mobility,trophic_level,habitat_ecology,habitat,min_max,met_type,FMR_mass_grams,FMR_kJ_day,FMR_kJ_day_g,met_rate_Wg,iucn_statues,iucn_pop,animal,met_notes,,,
Alces_alces,Mammalia,7.596653846,3,0.509437345,10.64398229,1.858355903,3.798893558,19.23076923,3,39,69,0.512890086,Calf: 0-1 years,1.200679683,351000,yes,viviparous,terrestrial,herbivore,terrestrial,terrestrial,69,endo,,,,0.000882606,LC,increasing,Alces_alces,White_Seymour03PNAS,,,
Alces_alces,Mammalia,6.143580199,3,0.347525664,9.16229411,1.317383306,3.01662437,10.92607106,5,22,32,0.508985691,Calf,1.1369653,351000,yes,viviparous,terrestrial,herbivore,terrestrial,terrestrial,32,endo,,,,0.000882606,LC,increasing,Alces_alces,White_Seymour03PNAS,,,
Alces_alces,Mammalia,4.154044118,3,0.48405092,9.735649061,1.781115251,3.10752579,12.35516934,5,21,32,0.45604316,Calf,1.13106558,351000,yes,viviparous,terrestrial,herbivore,terrestrial,terrestrial,32,endo,,,,0.000882606,LC,increasing,Alces_alces,White_Seymour03PNAS,,,
Alces_alces,Mammalia,5.134379439,2,0.198954114,5.559106354,0.862793627,2.177138311,6.668353934,11,13,14,0.462170483,1 yr,1.004486866,351000,yes,viviparous,terrestrial,herbivore,terrestrial,terrestrial,14,endo,,,,0.000882606,LC,increasing,Alces_alces,White_Seymour03PNAS,,,
Alces_alces,Mammalia,2.809037027,2,0.316321739,5.670473263,1.184321547,1.803154973,4.207062853,7,9,11,0.582093537,1 yr,0.96444696,351000,yes,viviparous,terrestrial,herbivore,terrestrial,terrestrial,11,endo,,,,0.000882606,LC,increasing,Alces_alces,White_Seymour03PNAS,,,
Amazona_vittata,Aves,8.142857143,6.310344828,0.265269793,10.90294462,1.143665598,3.301485247,8.928571429,3,26,39,0.461304661,One-year-olds,1.132660131,281,yes,oviparous,volant,herbivore,arboreal,terrestrial,39,endo,,,,,CE,increasing,Amazona_vittata,,,,
Ammocrypta_pellucida,Actinopterygii,1.036839904,2,1.475077791,2.364808446,0.758234283,0.591530352,1.534996,4,2,3,0.610750361,Age 0+,1.506150286,0.8,no,oviparous,fw_benthic,carnivore,benthic,freshwater,4,ecto,,,,,LC,stable,Ammocrypta_pellucida,,,,
Ammodramus_savannarum,Aves,1.507559395,2,0.572423484,3.271836685,1.210474366,1.421421968,2.159827214,2,5,8,0.607872194,Juvenile,0.921908143,17.9,yes,oviparous,volant,insectivore,terrestrial,terrestrial,8,endo,,,,0.012882448,LC,decreasing,Ammodramus_savannarum,from mcNAb its 0.64 kj/h for a 13.8g,,,
Ammodramus_savannarum,Aves,1.507559395,2,0.611580304,3.220280968,1.210474366,1.421421968,2.159827214,2,5,8,0.607872194,Juvenile,0.95522579,17.9,yes,oviparous,volant,insectivore,terrestrial,terrestrial,8,endo,,,,0.012882448,LC,decreasing,Ammodramus_savannarum,from mcNAb its 0.64 kj/h for a 13.8g,,,
Amphimedon_compressa,Demospongiae,3.980267822,1,0.050572829,8.609542766,1.135226426,2.235421368,3.980267822,3,12,17,0.588744043,< 10 cm height,0.795666347,182,no,oviparous,sessile,filter-feeding,benthic,marine,17,ecto,,,,,NA,NA,Amphimedon_compressa,,,,
Anarhynchus_frontalis,Aves,2.916363636,3,0.20619905,14.06169701,1.986073335,2.946769335,9.090909091,3,14,28,0.480660059,Juvenile,0.947124265,58.125,yes,oviparous,volant,insectivore,terrestrial,freshwater,28,endo,,,,,V,decreasing,Anarhynchus_frontalis,,,,
Anas_fulvigula,Aves,1.886792453,1,0.033978864,5.060544866,1.138643852,1.272435318,1.886792453,2,5,8,0.662212937,Second year females,0.503978864,1082,yes,oviparous,volant,omnivore,semiaquatic,freshwater,8,endo,,,,,LC,decreasing,Anas_fulvigula,,,,
Anas_laysanensis,Aves,7.833333333,2,0.417455485,5.888581962,1.123964474,3.000991972,8.333333333,2,24,37,0.596295613,Juvenile,1.277854403,1082,yes,oviparous,volant,insectivore,semiaquatic,freshwater,37,endo,,,,,CE,increasing,Anas_laysanensis,,,,
Anas_platyrhynchos,Aves,2.386634845,1,0.242790216,4.105931987,1.184589135,1.57811438,2.386634845,2,7,10,0.636354928,SY- females entering second calendar year of life,0.823790216,1121,yes,oviparous,volant,omnivore,semiaquatic,freshwater,10,endo,,3.986928,,0.003986928,LC,increasing,Anas_platyrhynchos,from mcNAb its 14.64 kj/h for a 1020g,,,
Anas_platyrhynchos,Aves,2.793103448,1,0.305550715,4.086812117,1.151044256,1.706598979,2.793103448,2,8,11,0.62478972,SY- second year (yearling),0.945675186,1121,yes,oviparous,volant,omnivore,semiaquatic,freshwater,11,endo,,,,0.003986928,LC,increasing,Anas_platyrhynchos,from mcNAb its 14.64 kj/h for a 1020g,,,
Anser_anser,Aves,5.63362511,3,0.440767101,6.138982487,1.178625004,2.65715348,6.090319437,3,18,27,0.607044973,Juvenile,1.251883528,3308.5,yes,oviparous,volant,herbivore,semiaquatic,terrestrial,27,endo,,,,0.003334188,LC,increasing,Anser_anser,from mcNAb its 39.01 kj/h for a 3250g,,,
